"Transition group","Marginal RR (95% CI)","Adjusted risk per 1000 (95% CI)","Risk difference per 1000 (95% CI)"
"Persistent non-hypertension","1.00 (reference)","52.0 (43.9-59.6)","0.0 (reference)"
"Incident hypertension","1.51 (1.11-2.01)","78.6 (60.4-98.2)","26.6 (6.0-48.2)"
"Persistent unawareness/no treatment","1.31 (0.93-1.76)","68.2 (49.4-88.7)","16.2 (-3.7-36.5)"
"New awareness/treatment without control","1.97 (1.09-2.90)","102.5 (57.1-151.2)","50.5 (4.5-97.8)"
"Persistent awareness or treatment but uncontrolled","2.41 (1.80-3.10)","125.2 (96.8-158.0)","73.2 (43.4-105.3)"
"Gained control","1.68 (1.03-2.51)","87.5 (52.7-128.2)","35.5 (1.5-76.4)"
"Persistent control","1.52 (0.85-2.37)","79.1 (45.5-118.7)","27.1 (-8.1-67.0)"
"Loss of control","1.53 (0.81-2.34)","79.6 (41.4-118.5)","27.6 (-9.5-67.2)"
"Other transitions","1.19 (0.75-1.71)","61.9 (40.2-85.2)","9.9 (-13.4-35.5)"
