"model","transition_group","transition_group_label","n_model","events_model","estimate","ci_lower","ci_upper","p_value","estimate_ci"
"primary_replication","incident_hypertension","Incident hypertension",6707,455,1.51634975383315,1.14310347491409,2.01146845094024,0.00388009103483352,"1.52 (1.14-2.01)"
"primary_replication","persistent_unaware_or_untreated","Persistent unawareness/no treatment",6707,455,1.31778890109622,0.957047798012195,1.81450455396194,0.090840517705351,"1.32 (0.96-1.81)"
"primary_replication","new_awareness_or_treatment_uncontrolled","New awareness/treatment without control",6707,455,1.97853624297701,1.23519284503995,3.16922631190193,0.00452907838359854,"1.98 (1.24-3.17)"
"primary_replication","persistent_aware_or_treated_uncontrolled","Persistent awareness or treatment without control",6707,455,2.39499808228233,1.82196148856399,3.14826402760959,3.85744873969666e-10,"2.39 (1.82-3.15)"
"primary_replication","gained_control","Gained control",6707,455,1.68613774978491,1.10359346990954,2.57618460852507,0.0157005833434188,"1.69 (1.10-2.58)"
"primary_replication","persistent_controlled","Persistent control",6707,455,1.5297692715518,0.946839897519117,2.47158366511152,0.0824177164740142,"1.53 (0.95-2.47)"
"primary_replication","control_loss","Loss of control",6707,455,1.53816991628375,0.944529512982843,2.5049155784329,0.083517409726936,"1.54 (0.94-2.50)"
"primary_replication","other_transition","Other transitions",6707,455,1.19487957441849,0.803756988517656,1.77632943508913,0.378796838110806,"1.19 (0.80-1.78)"
"deaths_as_non_events","incident_hypertension","Incident hypertension",7004,455,1.49872821910847,1.13129462366858,1.98550070667539,0.0048070401662867,"1.50 (1.13-1.99)"
"deaths_as_non_events","persistent_unaware_or_untreated","Persistent unawareness/no treatment",7004,455,1.28735481051207,0.931746973037526,1.77868290008581,0.12567123783614,"1.29 (0.93-1.78)"
"deaths_as_non_events","new_awareness_or_treatment_uncontrolled","New awareness/treatment without control",7004,455,1.9471691682052,1.21360479251304,3.12413711036674,0.00573459835887156,"1.95 (1.21-3.12)"
"deaths_as_non_events","persistent_aware_or_treated_uncontrolled","Persistent awareness or treatment without control",7004,455,2.34032676972001,1.77729035227597,3.08173022041906,1.39691531941703e-09,"2.34 (1.78-3.08)"
"deaths_as_non_events","gained_control","Gained control",7004,455,1.68596785278038,1.10471908450772,2.57304109295398,0.0154465456239252,"1.69 (1.10-2.57)"
"deaths_as_non_events","persistent_controlled","Persistent control",7004,455,1.51036260226533,0.936531405142261,2.43579145108878,0.0908210364206628,"1.51 (0.94-2.44)"
"deaths_as_non_events","control_loss","Loss of control",7004,455,1.5042300219566,0.919436849568093,2.46097158278838,0.104039658444344,"1.50 (0.92-2.46)"
"deaths_as_non_events","other_transition","Other transitions",7004,455,1.18719406626497,0.797099982800982,1.76819694064234,0.398530406733746,"1.19 (0.80-1.77)"
"cvd_or_death_composite","incident_hypertension","Incident hypertension",7004,752,1.42530302534683,1.14368145492477,1.77627144806372,0.00160305953647633,"1.43 (1.14-1.78)"
"cvd_or_death_composite","persistent_unaware_or_untreated","Persistent unawareness/no treatment",7004,752,1.42178912412535,1.14200316871066,1.77012145751174,0.00164578021627678,"1.42 (1.14-1.77)"
"cvd_or_death_composite","new_awareness_or_treatment_uncontrolled","New awareness/treatment without control",7004,752,1.76938319606681,1.23883611298498,2.52714371312613,0.00170317604707458,"1.77 (1.24-2.53)"
"cvd_or_death_composite","persistent_aware_or_treated_uncontrolled","Persistent awareness or treatment without control",7004,752,2.10239111234951,1.69853016473154,2.60227841757806,8.6295467221642e-12,"2.10 (1.70-2.60)"
"cvd_or_death_composite","gained_control","Gained control",7004,752,1.44513329415179,1.02069488982737,2.04606710455777,0.0379437987228478,"1.45 (1.02-2.05)"
"cvd_or_death_composite","persistent_controlled","Persistent control",7004,752,1.51629704439432,1.01587697586037,2.26322358068183,0.0416414206074901,"1.52 (1.02-2.26)"
"cvd_or_death_composite","control_loss","Loss of control",7004,752,1.58241045301063,1.11432054466735,2.24712974536855,0.0103189625410625,"1.58 (1.11-2.25)"
"cvd_or_death_composite","other_transition","Other transitions",7004,752,1.14441807568171,0.866271449760092,1.51187336522489,0.342356609302114,"1.14 (0.87-1.51)"
"all_missing_as_non_events","incident_hypertension","Incident hypertension",7379,455,1.50847619135969,1.136738536708,2.00177995767515,0.00440183433505258,"1.51 (1.14-2.00)"
"all_missing_as_non_events","persistent_unaware_or_untreated","Persistent unawareness/no treatment",7379,455,1.28479119943242,0.929338268865251,1.77619762517102,0.129387874052772,"1.28 (0.93-1.78)"
"all_missing_as_non_events","new_awareness_or_treatment_uncontrolled","New awareness/treatment without control",7379,455,1.9390232066311,1.20380213882046,3.12327987682261,0.00647623387624096,"1.94 (1.20-3.12)"
"all_missing_as_non_events","persistent_aware_or_treated_uncontrolled","Persistent awareness or treatment without control",7379,455,2.28424688392448,1.7319409057079,3.01268005710971,4.93839261254186e-09,"2.28 (1.73-3.01)"
