"model","transition_group","transition_group_label","n_model","events_model","estimate","ci_lower","ci_upper","p_value","estimate_ci"
"primary_replication","incident_hypertension","Incident hypertension",6707,455,1.51634975383315,1.14310347491409,2.01146845094024,0.00388009103483352,"1.52 (1.14-2.01)"
"primary_replication","persistent_unaware_or_untreated","Persistent unawareness/no treatment",6707,455,1.31778890109622,0.957047798012195,1.81450455396194,0.090840517705351,"1.32 (0.96-1.81)"
"primary_replication","new_awareness_or_treatment_uncontrolled","New awareness/treatment without control",6707,455,1.97853624297701,1.23519284503995,3.16922631190193,0.00452907838359854,"1.98 (1.24-3.17)"
"primary_replication","persistent_aware_or_treated_uncontrolled","Persistent awareness or treatment without control",6707,455,2.39499808228233,1.82196148856399,3.14826402760959,3.85744873969666e-10,"2.39 (1.82-3.15)"
"primary_replication","gained_control","Gained control",6707,455,1.68613774978491,1.10359346990954,2.57618460852507,0.0157005833434188,"1.69 (1.10-2.58)"
"primary_replication","persistent_controlled","Persistent control",6707,455,1.5297692715518,0.946839897519117,2.47158366511152,0.0824177164740142,"1.53 (0.95-2.47)"
"primary_replication","control_loss","Loss of control",6707,455,1.53816991628375,0.944529512982843,2.5049155784329,0.083517409726936,"1.54 (0.94-2.50)"
"primary_replication","other_transition","Other transitions",6707,455,1.19487957441849,0.803756988517656,1.77632943508913,0.378796838110806,"1.19 (0.80-1.78)"
"excluding_prior_cvd_2013","incident_hypertension","Incident hypertension",6545,429,1.5859320742615,1.1952171305312,2.10437123090225,0.00139471962638399,"1.59 (1.20-2.10)"
"excluding_prior_cvd_2013","persistent_unaware_or_untreated","Persistent unawareness/no treatment",6545,429,1.29704376520474,0.932575942218961,1.80395231390335,0.122281661471078,"1.30 (0.93-1.80)"
"excluding_prior_cvd_2013","new_awareness_or_treatment_uncontrolled","New awareness/treatment without control",6545,429,1.72399024453036,1.02532118282053,2.89874276766609,0.0399448123776667,"1.72 (1.03-2.90)"
"excluding_prior_cvd_2013","persistent_aware_or_treated_uncontrolled","Persistent awareness or treatment without control",6545,429,2.59488324550837,1.96388404412388,3.42862353710092,1.97425621185324e-11,"2.59 (1.96-3.43)"
"excluding_prior_cvd_2013","gained_control","Gained control",6545,429,1.74589820429921,1.14740448572546,2.65657017877875,0.00926725127982476,"1.75 (1.15-2.66)"
"excluding_prior_cvd_2013","persistent_controlled","Persistent control",6545,429,1.67432365104229,1.04006855601603,2.69536048582971,0.0338606866336353,"1.67 (1.04-2.70)"
"excluding_prior_cvd_2013","control_loss","Loss of control",6545,429,1.63678192868345,1.0067232103855,2.66116351985054,0.0469199924802652,"1.64 (1.01-2.66)"
"excluding_prior_cvd_2013","other_transition","Other transitions",6545,429,1.1748224156896,0.771705420273244,1.78851628114526,0.452413527037406,"1.17 (0.77-1.79)"
"restricted_to_2013_linked","incident_hypertension","Incident hypertension",6424,445,1.53200551812058,1.15454770003615,2.032866123659,0.00311902042668674,"1.53 (1.15-2.03)"
"restricted_to_2013_linked","persistent_unaware_or_untreated","Persistent unawareness/no treatment",6424,445,1.29363986275379,0.937145227679031,1.7857468032466,0.117509097652958,"1.29 (0.94-1.79)"
"restricted_to_2013_linked","new_awareness_or_treatment_uncontrolled","New awareness/treatment without control",6424,445,2.0086086206872,1.25549986532438,3.21346796007545,0.0036252984306072,"2.01 (1.26-3.21)"
"restricted_to_2013_linked","persistent_aware_or_treated_uncontrolled","Persistent awareness or treatment without control",6424,445,2.28545763127683,1.72987948292817,3.01946848662543,5.99764070705979e-09,"2.29 (1.73-3.02)"
"restricted_to_2013_linked","gained_control","Gained control",6424,445,1.65463795891664,1.06419635040893,2.57267070502147,0.0253317373903407,"1.65 (1.06-2.57)"
"restricted_to_2013_linked","persistent_controlled","Persistent control",6424,445,1.51540493233327,0.933743439131551,2.45940374271959,0.0924676976374923,"1.52 (0.93-2.46)"
"restricted_to_2013_linked","control_loss","Loss of control",6424,445,1.51402955394285,0.929661143938975,2.46572152139217,0.0955363686253918,"1.51 (0.93-2.47)"
"restricted_to_2013_linked","other_transition","Other transitions",6424,445,1.15393066036717,0.771845552750962,1.7251585685628,0.485295292011959,"1.15 (0.77-1.73)"
"linked_2013_and_no_prior_cvd","incident_hypertension","Incident hypertension",6262,419,1.60442924048161,1.20892946231031,2.1293162818557,0.00106068603596614,"1.60 (1.21-2.13)"
"linked_2013_and_no_prior_cvd","persistent_unaware_or_untreated","Persistent unawareness/no treatment",6262,419,1.27067892630341,0.910921058628244,1.77251905470607,0.158360921141672,"1.27 (0.91-1.77)"
"linked_2013_and_no_prior_cvd","new_awareness_or_treatment_uncontrolled","New awareness/treatment without control",6262,419,1.75678467571369,1.04700832422409,2.94772479398349,0.0328454897020345,"1.76 (1.05-2.95)"
