"outcome","model","scale","reference","transition_group","transition_group_label","n_model","events_model","estimate","ci_lower","ci_upper","p_value","estimate_ci","p_text","subgroup_variable","subgroup_level","interaction_p","interaction_p_text"
"incident_cvd_2015_2018","subgroup_sex_male","RR","Persistent non-hypertension","incident_hypertension","Incident hypertension",3152,185,1.4869029794691,0.95707151659235,2.31004729743282,0.0775971811480859,"1.49 (0.96-2.31)","0.078","sex","male",0.383050952842785,"0.383"
"incident_cvd_2015_2018","subgroup_sex_male","RR","Persistent non-hypertension","persistent_unaware_or_untreated","Persistent unawareness/no treatment",3152,185,1.39648899281616,0.831558655309213,2.34521220434116,0.20672350560995,"1.40 (0.83-2.35)","0.207","sex","male",0.383050952842785,"0.383"
"incident_cvd_2015_2018","subgroup_sex_male","RR","Persistent non-hypertension","new_awareness_or_treatment_uncontrolled","New awareness/treatment without control",3152,185,2.33921673485875,1.03834776406709,5.26984804321269,0.0402852448895263,"2.34 (1.04-5.27)","0.040","sex","male",0.383050952842785,"0.383"
"incident_cvd_2015_2018","subgroup_sex_male","RR","Persistent non-hypertension","persistent_aware_or_treated_uncontrolled","Persistent awareness or treatment but uncontrolled",3152,185,2.8839915717459,1.84031874920263,4.51954716513383,3.8164207467503e-06,"2.88 (1.84-4.52)","<0.001","sex","male",0.383050952842785,"0.383"
"incident_cvd_2015_2018","subgroup_sex_male","RR","Persistent non-hypertension","gained_control","Gained control",3152,185,1.65482946195003,0.798370056432193,3.43006419902025,0.175586247591231,"1.65 (0.80-3.43)","0.176","sex","male",0.383050952842785,"0.383"
"incident_cvd_2015_2018","subgroup_sex_male","RR","Persistent non-hypertension","persistent_controlled","Persistent control",3152,185,0.300444805979941,0.0427968570184506,2.10919884610705,0.226508264466842,"0.30 (0.04-2.11)","0.227","sex","male",0.383050952842785,"0.383"
"incident_cvd_2015_2018","subgroup_sex_male","RR","Persistent non-hypertension","control_loss","Loss of control",3152,185,1.63287441281654,0.770933785891629,3.45850564189147,0.200340461797092,"1.63 (0.77-3.46)","0.200","sex","male",0.383050952842785,"0.383"
"incident_cvd_2015_2018","subgroup_sex_male","RR","Persistent non-hypertension","other_transition","Other transitions",3152,185,1.24065414787176,0.701794316264463,2.1932675699405,0.458199249506236,"1.24 (0.70-2.19)","0.458","sex","male",0.383050952842785,"0.383"
"incident_cvd_2015_2018","subgroup_sex_female","RR","Persistent non-hypertension","incident_hypertension","Incident hypertension",3555,270,1.58031623873769,1.1080189886218,2.25393196331807,0.0115290430367937,"1.58 (1.11-2.25)","0.012","sex","female",0.383050952842785,"0.383"
"incident_cvd_2015_2018","subgroup_sex_female","RR","Persistent non-hypertension","persistent_unaware_or_untreated","Persistent unawareness/no treatment",3555,270,1.26469183750829,0.831676720574193,1.92315764562441,0.272154319042957,"1.26 (0.83-1.92)","0.272","sex","female",0.383050952842785,"0.383"
"incident_cvd_2015_2018","subgroup_sex_female","RR","Persistent non-hypertension","new_awareness_or_treatment_uncontrolled","New awareness/treatment without control",3555,270,1.79527853988223,0.984763227021195,3.27289336900908,0.0561478412893964,"1.80 (0.98-3.27)","0.056","sex","female",0.383050952842785,"0.383"
"incident_cvd_2015_2018","subgroup_sex_female","RR","Persistent non-hypertension","persistent_aware_or_treated_uncontrolled","Persistent awareness or treatment but uncontrolled",3555,270,2.11089361502485,1.47127602301172,3.02857640868195,4.98031546548657e-05,"2.11 (1.47-3.03)","<0.001","sex","female",0.383050952842785,"0.383"
"incident_cvd_2015_2018","subgroup_sex_female","RR","Persistent non-hypertension","gained_control","Gained control",3555,270,1.6768966703211,0.981368498878958,2.86536856048077,0.0585982670660798,"1.68 (0.98-2.87)","0.059","sex","female",0.383050952842785,"0.383"
"incident_cvd_2015_2018","subgroup_sex_female","RR","Persistent non-hypertension","persistent_controlled","Persistent control",3555,270,2.12231598260071,1.29130074878748,3.48813019293284,0.00299271022090361,"2.12 (1.29-3.49)","0.003","sex","female",0.383050952842785,"0.383"
