"outcome","model","scale","reference","transition_group","transition_group_label","n_model","events_model","estimate","ci_lower","ci_upper","p_value","estimate_ci","p_text"
"incident_cvd_2015_2018","model1_crude","RR","Persistent non-hypertension","incident_hypertension","Incident hypertension",6975,467,1.61389092687684,1.21536539650546,2.14309534510732,0.000939759202704427,"1.61 (1.22-2.14)","<0.001"
"incident_cvd_2015_2018","model1_crude","RR","Persistent non-hypertension","persistent_unaware_or_untreated","Persistent unawareness/no treatment",6975,467,1.42339789009593,1.04405145009814,1.94057635123164,0.025574470236986,"1.42 (1.04-1.94)","0.026"
"incident_cvd_2015_2018","model1_crude","RR","Persistent non-hypertension","new_awareness_or_treatment_uncontrolled","New awareness/treatment without control",6975,467,2.20040567951308,1.38222771735325,3.50288530149334,0.000885585780880796,"2.20 (1.38-3.50)","<0.001"
"incident_cvd_2015_2018","model1_crude","RR","Persistent non-hypertension","persistent_aware_or_treated_uncontrolled","Persistent awareness or treatment but uncontrolled",6975,467,3.00786448880799,2.33632987802238,3.87241924530379,1.30645405306668e-17,"3.01 (2.34-3.87)","<0.001"
"incident_cvd_2015_2018","model1_crude","RR","Persistent non-hypertension","gained_control","Gained control",6975,467,2.02237136465304,1.3509209844542,3.02755378266703,0.000623621883231602,"2.02 (1.35-3.03)","<0.001"
"incident_cvd_2015_2018","model1_crude","RR","Persistent non-hypertension","persistent_controlled","Persistent control",6975,467,1.83367139959402,1.1227780948664,2.99467082325754,0.0154040022408955,"1.83 (1.12-2.99)","0.015"
"incident_cvd_2015_2018","model1_crude","RR","Persistent non-hypertension","control_loss","Loss of control",6975,467,1.82106884701972,1.13421977000808,2.92385288396278,0.0130882608048149,"1.82 (1.13-2.92)","0.013"
"incident_cvd_2015_2018","model1_crude","RR","Persistent non-hypertension","other_transition","Other transitions",6975,467,1.31529172122791,0.892628198652309,1.93808834914986,0.16584099964796,"1.32 (0.89-1.94)","0.166"
"incident_cvd_2015_2018","model2_demographic","RR","Persistent non-hypertension","incident_hypertension","Incident hypertension",6967,467,1.58795265052989,1.19384756955432,2.11215709997737,0.00148611281088178,"1.59 (1.19-2.11)","0.001"
"incident_cvd_2015_2018","model2_demographic","RR","Persistent non-hypertension","persistent_unaware_or_untreated","Persistent unawareness/no treatment",6967,467,1.36135153756012,0.993012526907174,1.8663188616457,0.0553094262731389,"1.36 (0.99-1.87)","0.055"
"incident_cvd_2015_2018","model2_demographic","RR","Persistent non-hypertension","new_awareness_or_treatment_uncontrolled","New awareness/treatment without control",6967,467,2.03052370574413,1.26667280358271,3.25500516623322,0.00326266028201243,"2.03 (1.27-3.26)","0.003"
"incident_cvd_2015_2018","model2_demographic","RR","Persistent non-hypertension","persistent_aware_or_treated_uncontrolled","Persistent awareness or treatment but uncontrolled",6967,467,2.79088524272051,2.17128543613678,3.58729456219889,1.11639417389049e-15,"2.79 (2.17-3.59)","<0.001"
"incident_cvd_2015_2018","model2_demographic","RR","Persistent non-hypertension","gained_control","Gained control",6967,467,1.88688543712185,1.25922760015484,2.82739724922224,0.00209043514261387,"1.89 (1.26-2.83)","0.002"
"incident_cvd_2015_2018","model2_demographic","RR","Persistent non-hypertension","persistent_controlled","Persistent control",6967,467,1.67925671354596,1.03091865988174,2.73533036089641,0.0373127717293418,"1.68 (1.03-2.74)","0.037"
"incident_cvd_2015_2018","model2_demographic","RR","Persistent non-hypertension","control_loss","Loss of control",6967,467,1.74122279781343,1.07256570896828,2.82673295097383,0.0248726013941354,"1.74 (1.07-2.83)","0.025"
"incident_cvd_2015_2018","model2_demographic","RR","Persistent non-hypertension","other_transition","Other transitions",6967,467,1.24961252951821,0.845261742024604,1.84739400388413,0.263916712877074,"1.25 (0.85-1.85)","0.264"
"incident_cvd_2015_2018","model3_full","RR","Persistent non-hypertension","incident_hypertension","Incident hypertension",6707,455,1.51634975383315,1.14310347491408,2.01146845094025,0.00388009103483386,"1.52 (1.14-2.01)","0.004"
"incident_cvd_2015_2018","model3_full","RR","Persistent non-hypertension","persistent_unaware_or_untreated","Persistent unawareness/no treatment",6707,455,1.31778890109621,0.957047798012193,1.81450455396194,0.0908405177053534,"1.32 (0.96-1.81)","0.091"
"incident_cvd_2015_2018","model3_full","RR","Persistent non-hypertension","new_awareness_or_treatment_uncontrolled","New awareness/treatment without control",6707,455,1.97853624297702,1.23519284503994,3.16922631190195,0.00452907838359885,"1.98 (1.24-3.17)","0.005"
"incident_cvd_2015_2018","model3_full","RR","Persistent non-hypertension","persistent_aware_or_treated_uncontrolled","Persistent awareness or treatment but uncontrolled",6707,455,2.39499808228234,1.82196148856399,3.14826402760961,3.85744873969805e-10,"2.39 (1.82-3.15)","<0.001"
"incident_cvd_2015_2018","model3_full","RR","Persistent non-hypertension","gained_control","Gained control",6707,455,1.68613774978491,1.10359346990954,2.57618460852508,0.0157005833434199,"1.69 (1.10-2.58)","0.016"
"incident_cvd_2015_2018","model3_full","RR","Persistent non-hypertension","persistent_controlled","Persistent control",6707,455,1.5297692715518,0.946839897519114,2.47158366511153,0.0824177164740164,"1.53 (0.95-2.47)","0.082"
"incident_cvd_2015_2018","model3_full","RR","Persistent non-hypertension","control_loss","Loss of control",6707,455,1.53816991628375,0.944529512982838,2.50491557843291,0.0835174097269393,"1.54 (0.94-2.50)","0.084"
"incident_cvd_2015_2018","model3_full","RR","Persistent non-hypertension","other_transition","Other transitions",6707,455,1.19487957441849,0.803756988517653,1.77632943508914,0.378796838110811,"1.19 (0.80-1.78)","0.379"
