"Characteristic","Persistent non-hypertensive","Incident hypertension","Persistent unaware/untreated hypertension","New awareness/treatment but uncontrolled","Persistent awareness or treatment but uncontrolled","Gained control","Persistent controlled","Loss of control","Other transitions"
"Participants, n","3616","940","657","170","456","298","170","194","474"
"Incident CVD events, n","174","73","45","18","66","29","15","17","30"
"Crude CVD risk, %","4.8","7.8","6.8","10.6","14.5","9.7","8.8","8.8","6.3"
"Age, years","56.5 +/- 8.1","58.7 +/- 8.6","60.5 +/- 9.1","60.9 +/- 9.3","60.9 +/- 8.8","60.4 +/- 9.4","60.3 +/- 8.3","59.7 +/- 7.7","60.4 +/- 9.5"
"Female sex, n (%)","1911 (52.8)","451 (48.0)","323 (49.2)","106 (62.4)","264 (57.9)","173 (58.1)","101 (59.4)","106 (54.6)","255 (53.8)"
"2011 SBP, mm Hg","116.5 +/- 11.1","124.8 +/- 10.7","150.3 +/- 16.7","160.9 +/- 17.1","159.4 +/- 17.4","152.4 +/- 19.5","124.8 +/- 10.3","127.5 +/- 8.7","144.5 +/- 14.9"
"2011 DBP, mm Hg","69.6 +/- 8.7","73.9 +/- 8.5","85.1 +/- 10.5","89.5 +/- 12.2","88.2 +/- 11.7","86.2 +/- 11.7","74.1 +/- 9.0","74.9 +/- 8.3","82.9 +/- 10.3"
"2015 SBP, mm Hg","116.9 +/- 11.7","139.6 +/- 17.4","148.9 +/- 18.2","157.3 +/- 14.8","155.8 +/- 18.2","127.3 +/- 9.4","124.0 +/- 9.1","147.3 +/- 17.6","125.0 +/- 10.8"
"2015 DBP, mm Hg","69.8 +/- 8.2","81.6 +/- 11.5","84.4 +/- 11.8","87.6 +/- 10.9","86.4 +/- 11.9","74.7 +/- 8.5","72.5 +/- 7.9","83.8 +/- 10.8","73.6 +/- 8.2"
"BMI, kg/m2","22.7 +/- 3.5","23.3 +/- 3.4","23.7 +/- 3.7","24.0 +/- 3.5","25.4 +/- 4.2","25.1 +/- 4.6","25.5 +/- 3.4","25.3 +/- 4.3","23.2 +/- 4.0"
"Current smoking, n (%)","1400 (38.7)","395 (42.0)","280 (42.6)","62 (36.5)","172 (37.7)","109 (36.6)","60 (35.3)","67 (34.5)","178 (37.6)"
"Alcohol drinking in the past year, n (%)","1243 (34.4)","368 (39.1)","261 (39.7)","51 (30.0)","132 (28.9)","95 (31.9)","46 (27.1)","60 (30.9)","153 (32.3)"
"Diabetes, n (%)","91 (2.5)","39 (4.2)","20 (3.1)","1 (0.6)","50 (11.2)","20 (6.8)","12 (7.1)","20 (10.4)","18 (3.8)"
"Dyslipidemia, n (%)","144 (4.1)","37 (4.0)","30 (4.6)","7 (4.2)","63 (14.5)","46 (15.8)","31 (18.6)","43 (22.3)","32 (6.9)"
"Agricultural hukou, n (%)","3155 (87.3)","806 (85.7)","565 (86.0)","156 (91.8)","392 (86.0)","261 (87.6)","131 (77.1)","156 (80.4)","416 (87.8)"
"No formal education, n (%)","920 (25.4)","280 (29.8)","216 (32.9)","63 (37.1)","154 (33.8)","88 (29.5)","44 (25.9)","51 (26.3)","155 (32.7)"
"Married or partnered, n (%)","3325 (92.0)","837 (89.0)","554 (84.3)","142 (83.5)","394 (86.4)","258 (86.6)","159 (93.5)","172 (88.7)","395 (83.3)"
