"Transition group","Adjusted RR (95% CI)","Adjusted risk per 1000 (95% CI)","Risk difference per 1000 (95% CI)"
"Persistent non-hypertensive","1.00 (reference)","52.0 (45.3-61.4)","0.0 (0.0-0.0)"
"Incident hypertension","1.52 (1.16-1.98)","78.6 (64.2-98.3)","26.6 (8.4-47.0)"
"Persistent unaware/untreated hypertension","1.32 (0.95-1.82)","68.2 (51.8-92.3)","16.2 (-2.5-41.1)"
"New awareness/treatment but uncontrolled","1.98 (1.24-3.15)","102.5 (65.0-155.7)","50.5 (10.8-104.0)"
"Persistent awareness or treatment but uncontrolled","2.39 (1.78-3.23)","125.2 (96.9-159.9)","73.2 (43.0-109.6)"
"Gained control","1.69 (1.13-2.52)","87.5 (60.9-125.7)","35.5 (6.4-74.2)"
"Persistent controlled","1.53 (0.93-2.53)","79.1 (48.1-128.8)","27.1 (-6.5-76.3)"
"Loss of control","1.54 (0.95-2.50)","79.6 (50.7-126.4)","27.6 (-3.8-71.6)"
"Other transitions","1.19 (0.82-1.75)","61.9 (44.3-89.6)","9.9 (-10.6-37.4)"
