"variable","observed_2018","lost_2018"
"age_2011","58.2 +/- 8.7","62.1 +/- 10.9"
"sex: male","3278","385"
"sex: female","3690","319"
"education: no_formal","1971","227"
"education: primary_or_below","2920","312"
"education: middle_school","1447","118"
"education: high_school_plus","637","48"
"hukou: agricultural","6038","572"
"hukou: non_agricultural","897","128"
"hukou: other","39","4"
"bmi_2011","23.3 +/- 3.8","22.6 +/- 3.4"
"sbp_2011","128.6 +/- 20.5","132.2 +/- 22.6"
"dbp_2011","75.2 +/- 11.8","76.0 +/- 12.8"
"diabetes","271 (3.9)","41 (5.9)"
"dyslipidemia","433 (6.3)","40 (5.8)"
"transition_group: persistent_nonhypertensive","3616","311"
"transition_group: incident_hypertension","940","95"
"transition_group: persistent_unaware_or_untreated","657","86"
"transition_group: new_awareness_or_treatment_uncontrolled","170","19"
"transition_group: persistent_aware_or_treated_uncontrolled","456","67"
"transition_group: gained_control","298","28"
"transition_group: persistent_controlled","170","15"
"transition_group: control_loss","194","24"
"transition_group: other_transition","474","60"
