variable,n_total,n_missing,missing_pct
age_2011,6975,0,0.0
sex,6975,7,0.1003584229390681
hukou,6975,1,0.014336917562724014
education,6975,0,0.0
marital,6975,0,0.0
bmi_2011,6975,90,1.2903225806451613
current_smoking,6975,1,0.014336917562724014
alcohol_last_year,6975,1,0.014336917562724014
diabetes,6975,73,1.0465949820788532
dyslipidemia,6975,151,2.164874551971326
sbp_2011,6975,0,0.0
dbp_2011,6975,0,0.0
sbp_2015,6975,0,0.0
dbp_2015,6975,0,0.0
baseline_biomarker_weight,6975,0,0.0
cluster_psu,6975,0,0.0
