"outcome","model","scale","reference","transition_group","transition_group_label","n_model","events_model","estimate","ci_lower","ci_upper","p_value","estimate_ci","p_text","subgroup_variable","subgroup_level","interaction_p"
"incident_cvd_2015_2018","subgroup_sex_male","OR","Persistent non-hypertensive","incident_hypertension","Incident hypertension",3152,185,1.52231003711382,0.980304354357624,2.36398812144016,0.0612877581278345,"1.52 (0.98-2.36)","0.061","sex","male",0.329671770770912
"incident_cvd_2015_2018","subgroup_sex_male","OR","Persistent non-hypertensive","persistent_unaware_or_untreated","Persistent unaware/untreated hypertension",3152,185,1.42191746199815,0.853722228464091,2.36827530234596,0.17624878438511,"1.42 (0.85-2.37)","0.176","sex","male",0.329671770770912
"incident_cvd_2015_2018","subgroup_sex_male","OR","Persistent non-hypertensive","new_awareness_or_treatment_uncontrolled","New awareness/treatment but uncontrolled",3152,185,2.5131570956457,1.09294677503846,5.77883455227913,0.0300668671263552,"2.51 (1.09-5.78)","0.030","sex","male",0.329671770770912
"incident_cvd_2015_2018","subgroup_sex_male","OR","Persistent non-hypertensive","persistent_aware_or_treated_uncontrolled","Persistent aware/treated but uncontrolled",3152,185,3.20999877523791,1.93228145342236,5.33260417046324,6.68107530923745e-06,"3.21 (1.93-5.33)","<0.001","sex","male",0.329671770770912
"incident_cvd_2015_2018","subgroup_sex_male","OR","Persistent non-hypertensive","gained_control","Gained control",3152,185,1.71450914064523,0.836983784864578,3.51206516364191,0.140588077705416,"1.71 (0.84-3.51)","0.141","sex","male",0.329671770770912
"incident_cvd_2015_2018","subgroup_sex_male","OR","Persistent non-hypertensive","persistent_controlled","Persistent controlled",3152,185,0.286683853063247,0.0388961729807299,2.11300046531331,0.220225082736287,"0.29 (0.04-2.11)","0.220","sex","male",0.329671770770912
"incident_cvd_2015_2018","subgroup_sex_male","OR","Persistent non-hypertensive","control_loss","Control loss",3152,185,1.68358200559804,0.729720294784812,3.88429428348208,0.221980583593168,"1.68 (0.73-3.88)","0.222","sex","male",0.329671770770912
"incident_cvd_2015_2018","subgroup_sex_male","OR","Persistent non-hypertensive","other_transition","Other transitions",3152,185,1.25396030571881,0.662553841393253,2.37326591452833,0.486879544397745,"1.25 (0.66-2.37)","0.487","sex","male",0.329671770770912
"incident_cvd_2015_2018","subgroup_sex_female","OR","Persistent non-hypertensive","incident_hypertension","Incident hypertension",3555,270,1.63624394788179,1.11077896275683,2.41028534636183,0.0127160187981924,"1.64 (1.11-2.41)","0.013","sex","female",0.329671770770912
"incident_cvd_2015_2018","subgroup_sex_female","OR","Persistent non-hypertensive","persistent_unaware_or_untreated","Persistent unaware/untreated hypertension",3555,270,1.28017146216849,0.795491981195599,2.06015775305174,0.30892217597816,"1.28 (0.80-2.06)","0.309","sex","female",0.329671770770912
"incident_cvd_2015_2018","subgroup_sex_female","OR","Persistent non-hypertensive","new_awareness_or_treatment_uncontrolled","New awareness/treatment but uncontrolled",3555,270,1.88702541263654,0.967316647206731,3.68117815217862,0.0625278109013556,"1.89 (0.97-3.68)","0.063","sex","female",0.329671770770912
