"item","value"
"Sampling weight","2011 baseline biomarker weight: bio_weight2, stored as baseline_biomarker_weight"
"Rationale for weight choice","The exposure definition used measured blood pressure from the biomarker examination; therefore the biomarker/examination weight was more relevant than household or interview-only weights."
"Weight scaling","Weights were standardized by dividing by their analytic-sample mean before modeling."
"Weight truncation","Survey sensitivity analyses used weights truncated at the 1st and 99th percentiles."
"PSU","communityID from the CHARLS 2011 PSU/weight files, stored as cluster_psu."
"Strata","Proxy strata constructed as province_eng combined with urban_nbs."
"Finite population correction","No finite population correction was specified."
"Survey design specification","survey::svydesign(id = ~cluster_psu, strata = ~strata_proxy, weights = ~w_baseline_biomarker_trunc, nest = TRUE), with lonely PSUs adjusted."
"IPCW combination","IPCW was analyzed as a separate sensitivity analysis and was not multiplied by the baseline sampling weight."
"Interpretation","Because no validated three-wave longitudinal analysis weight was available, this analysis should be described as survey-weighted sensitivity analysis rather than as a fully nationally representative estimate."
