"variable","group","value"
"N","Persistent non-hypertensive","3616"
"age_2011","Persistent non-hypertensive","56.5 +/- 8.1"
"bmi_2011","Persistent non-hypertensive","22.7 +/- 3.5"
"sbp_2011","Persistent non-hypertensive","116.5 +/- 11.1"
"dbp_2011","Persistent non-hypertensive","69.6 +/- 8.7"
"sbp_2015","Persistent non-hypertensive","116.9 +/- 11.7"
"dbp_2015","Persistent non-hypertensive","69.8 +/- 8.2"
"current_smoking","Persistent non-hypertensive","1400 (38.7)"
"alcohol_last_year","Persistent non-hypertensive","1243 (34.4)"
"diabetes","Persistent non-hypertensive","91 (2.5)"
"dyslipidemia","Persistent non-hypertensive","144 (4.1)"
"sex: male","Persistent non-hypertensive","1701 (47.0)"
"sex: female","Persistent non-hypertensive","1911 (52.8)"
"hukou: agricultural","Persistent non-hypertensive","3155 (87.3)"
"hukou: non_agricultural","Persistent non-hypertensive","445 (12.3)"
"hukou: other","Persistent non-hypertensive","16 (0.4)"
"education: no_formal","Persistent non-hypertensive","920 (25.4)"
"education: primary_or_below","Persistent non-hypertensive","1514 (41.9)"
"education: middle_school","Persistent non-hypertensive","806 (22.3)"
"education: high_school_plus","Persistent non-hypertensive","376 (10.4)"
"marital: married_partnered","Persistent non-hypertensive","3325 (92.0)"
"marital: not_married_partnered","Persistent non-hypertensive","291 (8.0)"
"N","Incident hypertension","940"
"age_2011","Incident hypertension","58.7 +/- 8.6"
"bmi_2011","Incident hypertension","23.3 +/- 3.4"
"sbp_2011","Incident hypertension","124.8 +/- 10.7"
"dbp_2011","Incident hypertension","73.9 +/- 8.5"
"sbp_2015","Incident hypertension","139.6 +/- 17.4"
"dbp_2015","Incident hypertension","81.6 +/- 11.5"
"current_smoking","Incident hypertension","395 (42.0)"
"alcohol_last_year","Incident hypertension","368 (39.1)"
"diabetes","Incident hypertension","39 (4.2)"
"dyslipidemia","Incident hypertension","37 (4.0)"
"sex: male","Incident hypertension","488 (51.9)"
"sex: female","Incident hypertension","451 (48.0)"
"hukou: agricultural","Incident hypertension","806 (85.7)"
"hukou: non_agricultural","Incident hypertension","129 (13.7)"
"hukou: other","Incident hypertension","5 (0.5)"
"education: no_formal","Incident hypertension","280 (29.8)"
"education: primary_or_below","Incident hypertension","394 (41.9)"
"education: middle_school","Incident hypertension","195 (20.7)"
"education: high_school_plus","Incident hypertension","71 (7.6)"
"marital: married_partnered","Incident hypertension","837 (89.0)"
"marital: not_married_partnered","Incident hypertension","103 (11.0)"
"N","Persistent unaware/untreated hypertension","657"
"age_2011","Persistent unaware/untreated hypertension","60.5 +/- 9.1"
"bmi_2011","Persistent unaware/untreated hypertension","23.7 +/- 3.7"
"sbp_2011","Persistent unaware/untreated hypertension","150.3 +/- 16.7"
"dbp_2011","Persistent unaware/untreated hypertension","85.1 +/- 10.5"
"sbp_2015","Persistent unaware/untreated hypertension","148.9 +/- 18.2"
"dbp_2015","Persistent unaware/untreated hypertension","84.4 +/- 11.8"
"current_smoking","Persistent unaware/untreated hypertension","280 (42.6)"
"alcohol_last_year","Persistent unaware/untreated hypertension","261 (39.7)"
"diabetes","Persistent unaware/untreated hypertension","20 (3.1)"
"dyslipidemia","Persistent unaware/untreated hypertension","30 (4.6)"
"sex: male","Persistent unaware/untreated hypertension","333 (50.7)"
"sex: female","Persistent unaware/untreated hypertension","323 (49.2)"
"hukou: agricultural","Persistent unaware/untreated hypertension","565 (86.0)"
"hukou: non_agricultural","Persistent unaware/untreated hypertension","86 (13.1)"
"hukou: other","Persistent unaware/untreated hypertension","5 (0.8)"
"education: no_formal","Persistent unaware/untreated hypertension","216 (32.9)"
"education: primary_or_below","Persistent unaware/untreated hypertension","269 (40.9)"
"education: middle_school","Persistent unaware/untreated hypertension","116 (17.7)"
"education: high_school_plus","Persistent unaware/untreated hypertension","56 (8.5)"
"marital: married_partnered","Persistent unaware/untreated hypertension","554 (84.3)"
"marital: not_married_partnered","Persistent unaware/untreated hypertension","103 (15.7)"
"N","New awareness/treatment but uncontrolled","170"
"age_2011","New awareness/treatment but uncontrolled","60.9 +/- 9.3"
"bmi_2011","New awareness/treatment but uncontrolled","24.0 +/- 3.5"
"sbp_2011","New awareness/treatment but uncontrolled","160.9 +/- 17.1"
"dbp_2011","New awareness/treatment but uncontrolled","89.5 +/- 12.2"
"sbp_2015","New awareness/treatment but uncontrolled","157.3 +/- 14.8"
"dbp_2015","New awareness/treatment but uncontrolled","87.6 +/- 10.9"
"current_smoking","New awareness/treatment but uncontrolled","62 (36.5)"
"alcohol_last_year","New awareness/treatment but uncontrolled","51 (30.0)"
"diabetes","New awareness/treatment but uncontrolled","1 (0.6)"
"dyslipidemia","New awareness/treatment but uncontrolled","7 (4.2)"
"sex: male","New awareness/treatment but uncontrolled","64 (37.6)"
"sex: female","New awareness/treatment but uncontrolled","106 (62.4)"
"hukou: agricultural","New awareness/treatment but uncontrolled","156 (91.8)"
"hukou: non_agricultural","New awareness/treatment but uncontrolled","12 (7.1)"
"hukou: other","New awareness/treatment but uncontrolled","2 (1.2)"
"education: no_formal","New awareness/treatment but uncontrolled","63 (37.1)"
"education: primary_or_below","New awareness/treatment but uncontrolled","64 (37.6)"
"education: middle_school","New awareness/treatment but uncontrolled","30 (17.6)"
