"outcome","model","scale","reference","transition_group","transition_group_label","n_model","events_model","estimate","ci_lower","ci_upper","p_value","estimate_ci","p_text","p_bh","p_bh_text"
"incident_cvd_2015_2018","model1_crude","OR","Persistent non-hypertensive","incident_hypertension","Incident hypertension",6975,467,1.66557953355019,1.25469807071658,2.2110141454166,0.000415740449450797,"1.67 (1.25-2.21)","<0.001",0.00110864119853546,"0.001"
"incident_cvd_2015_2018","model1_crude","OR","Persistent non-hypertensive","persistent_unaware_or_untreated","Persistent unaware/untreated hypertension",6975,467,1.45453007212554,1.03645621024065,2.0412417908387,0.0302269143984809,"1.45 (1.04-2.04)","0.030",0.0345450450268353,"0.035"
"incident_cvd_2015_2018","model1_crude","OR","Persistent non-hypertensive","new_awareness_or_treatment_uncontrolled","New awareness/treatment but uncontrolled",6975,467,2.34255895823442,1.40423830915965,3.90787121887332,0.00111307319713936,"2.34 (1.40-3.91)","0.001",0.00222614639427871,"0.002"
"incident_cvd_2015_2018","model1_crude","OR","Persistent non-hypertensive","persistent_aware_or_treated_uncontrolled","Persistent aware/treated but uncontrolled",6975,467,3.34765690441726,2.4748726723186,4.52823568462348,4.51157080644801e-15,"3.35 (2.47-4.53)","<0.001",3.60925664515841e-14,"<0.001"
"incident_cvd_2015_2018","model1_crude","OR","Persistent non-hypertensive","gained_control","Gained control",6975,467,2.13258981575747,1.41212843752037,3.22062724709267,0.000317267716738985,"2.13 (1.41-3.22)","<0.001",0.00110864119853546,"0.001"
"incident_cvd_2015_2018","model1_crude","OR","Persistent non-hypertensive","persistent_controlled","Persistent controlled",6975,467,1.9143492561917,1.10289805163831,3.32282124285005,0.0209925731387744,"1.91 (1.10-3.32)","0.021",0.0279900975183659,"0.028"
"incident_cvd_2015_2018","model1_crude","OR","Persistent non-hypertensive","control_loss","Control loss",6975,467,1.89992854616388,1.1290349171987,3.19718055264816,0.0156469649254808,"1.90 (1.13-3.20)","0.016",0.0250351438807693,"0.025"
"incident_cvd_2015_2018","model1_crude","OR","Persistent non-hypertensive","other_transition","Other transitions",6975,467,1.33659520149573,0.896064149114894,1.99370406061447,0.155002602029731,"1.34 (0.90-1.99)","0.155",0.155002602029731,"0.155"
"incident_cvd_2015_2018","model2_demographic","OR","Persistent non-hypertensive","incident_hypertension","Incident hypertension",6967,467,1.63821699219991,1.23170872747803,2.17888763281526,0.000693367852769761,"1.64 (1.23-2.18)","<0.001",0.00277347141107904,"0.003"
"incident_cvd_2015_2018","model2_demographic","OR","Persistent non-hypertensive","persistent_unaware_or_untreated","Persistent unaware/untreated hypertension",6967,467,1.38658467323137,0.984056128534386,1.95376767675194,0.0617431801195701,"1.39 (0.98-1.95)","0.062",0.0705636344223659,"0.071"
"incident_cvd_2015_2018","model2_demographic","OR","Persistent non-hypertensive","new_awareness_or_treatment_uncontrolled","New awareness/treatment but uncontrolled",6967,467,2.15250056284206,1.28422512111166,3.607824357948,0.0036220456625625,"2.15 (1.28-3.61)","0.004",0.00724409132512499,"0.007"
"incident_cvd_2015_2018","model2_demographic","OR","Persistent non-hypertensive","persistent_aware_or_treated_uncontrolled","Persistent aware/treated but uncontrolled",6967,467,3.09907825907357,2.27927908133327,4.21373851693686,5.36910050946487e-13,"3.10 (2.28-4.21)","<0.001",4.2952804075719e-12,"<0.001"
"incident_cvd_2015_2018","model2_demographic","OR","Persistent non-hypertensive","gained_control","Gained control",6967,467,1.98133759325632,1.30742383825873,3.00262129507988,0.00126484441700143,"1.98 (1.31-3.00)","0.001",0.00337291844533714,"0.003"
"incident_cvd_2015_2018","model2_demographic","OR","Persistent non-hypertensive","persistent_controlled","Persistent controlled",6967,467,1.7420623782826,1.00005814053935,3.03460489626223,0.0499717975303161,"1.74 (1.00-3.03)","0.050",0.0666290633737548,"0.067"
