"outcome","model","scale","reference","transition_group","transition_group_label","n_model","events_model","estimate","ci_lower","ci_upper","p_value","estimate_ci","p_text","p_bh","p_bh_text"
"incident_heart_2015_2018","model3_full","OR","Persistent non-hypertensive","incident_hypertension","Incident hypertension",6707,322,1.5476211657338,1.10399873858029,2.16950544319218,0.0112736138348642,"1.55 (1.10-2.17)","0.011",0.0225472276697283,"0.023"
"incident_heart_2015_2018","model3_full","OR","Persistent non-hypertensive","persistent_unaware_or_untreated","Persistent unaware/untreated hypertension",6707,322,1.06518458402753,0.687070814888211,1.65138465128157,0.777728655873482,"1.07 (0.69-1.65)","0.778",0.777728655873482,"0.778"
"incident_heart_2015_2018","model3_full","OR","Persistent non-hypertensive","new_awareness_or_treatment_uncontrolled","New awareness/treatment but uncontrolled",6707,322,2.20052797911929,1.22796853665072,3.94336112234133,0.00804893006255761,"2.20 (1.23-3.94)","0.008",0.0214638135001536,"0.021"
"incident_heart_2015_2018","model3_full","OR","Persistent non-hypertensive","persistent_aware_or_treated_uncontrolled","Persistent aware/treated but uncontrolled",6707,322,1.91830662026589,1.27392310001749,2.88863612670609,0.00181328511548948,"1.92 (1.27-2.89)","0.002",0.0120193043887674,"0.012"
"incident_heart_2015_2018","model3_full","OR","Persistent non-hypertensive","gained_control","Gained control",6707,322,2.03736274816634,1.27325267310481,3.26003397070756,0.00300482609719184,"2.04 (1.27-3.26)","0.003",0.0120193043887674,"0.012"
"incident_heart_2015_2018","model3_full","OR","Persistent non-hypertensive","persistent_controlled","Persistent controlled",6707,322,1.96760991849497,1.09109719096504,3.54825291772181,0.0244612375529565,"1.97 (1.09-3.55)","0.024",0.0391379800847303,"0.039"
"incident_heart_2015_2018","model3_full","OR","Persistent non-hypertensive","control_loss","Control loss",6707,322,1.62202065649683,0.884163165805733,2.97563969169066,0.118211059871675,"1.62 (0.88-2.98)","0.118",0.157614746495567,"0.158"
"incident_heart_2015_2018","model3_full","OR","Persistent non-hypertensive","other_transition","Other transitions",6707,322,1.15010783422541,0.705974722437636,1.87364786345238,0.574334589911735,"1.15 (0.71-1.87)","0.574",0.656382388470555,"0.656"
"incident_stroke_2015_2018","model3_full","OR","Persistent non-hypertensive","incident_hypertension","Incident hypertension",6707,153,1.53236732923768,0.919038919244761,2.5550056505166,0.101771887463716,"1.53 (0.92-2.56)","0.102",0.271391699903243,"0.271"
"incident_stroke_2015_2018","model3_full","OR","Persistent non-hypertensive","persistent_unaware_or_untreated","Persistent unaware/untreated hypertension",6707,153,1.98383012080336,1.17083564489327,3.36134449388534,0.010889293093413,"1.98 (1.17-3.36)","0.011",0.0435571723736522,"0.044"
"incident_stroke_2015_2018","model3_full","OR","Persistent non-hypertensive","new_awareness_or_treatment_uncontrolled","New awareness/treatment but uncontrolled",6707,153,1.85368526655405,0.723032491766106,4.75241307489004,0.198841781290314,"1.85 (0.72-4.75)","0.199",0.324606358813132,"0.325"
"incident_stroke_2015_2018","model3_full","OR","Persistent non-hypertensive","persistent_aware_or_treated_uncontrolled","Persistent aware/treated but uncontrolled",6707,153,3.92480930659121,2.37775110119059,6.47844431042082,8.92013933436508e-08,"3.92 (2.38-6.48)","<0.001",7.13611146749206e-07,"<0.001"
"incident_stroke_2015_2018","model3_full","OR","Persistent non-hypertensive","gained_control","Gained control",6707,153,1.65334032194455,0.762535246474076,3.58479720486029,0.202878974258207,"1.65 (0.76-3.58)","0.203",0.324606358813132,"0.325"
"incident_stroke_2015_2018","model3_full","OR","Persistent non-hypertensive","persistent_controlled","Persistent controlled",6707,153,1.08521282295643,0.330404930169822,3.56437438903757,0.892786391422168,"1.09 (0.33-3.56)","0.893",0.892786391422168,"0.893"
"incident_stroke_2015_2018","model3_full","OR","Persistent non-hypertensive","control_loss","Control loss",6707,153,1.5455290210127,0.597989097137131,3.99448746846417,0.36883594956682,"1.55 (0.60-3.99)","0.369",0.485187104509802,"0.485"
"incident_stroke_2015_2018","model3_full","OR","Persistent non-hypertensive","other_transition","Other transitions",6707,153,1.32687449513324,0.662763434219536,2.65644698384476,0.424538716446077,"1.33 (0.66-2.66)","0.425",0.485187104509802,"0.485"
